AGS,Name,bevoelkerung_gesamt,bevoelkerung_unter15,bevoelkerung_15_64,bevoelkerung_65plus,medianalter,tode_2024,arbeitslosenquote_pct,bruttolohn_je_arbeitnehmer_eur,todesrate_je_1000ew
08126,Hohenlohekreis,115335.0,17096.0,74394.0,23845.0,44.5,1142.0,3.4,50431.0,9.901591017470846
08127,SchwÃ¤bisch Hall,200597.0,30523.0,128928.0,41146.0,43.9,2111.0,3.8,44638.0,10.523587092528802
08128,Main-Tauber-Kreis,133459.0,18276.0,83076.0,32107.0,47.6,1647.0,3.4,43642.0,12.340868731220825
08135,Heidenheim,135241.0,19505.0,85408.0,30328.0,45.4,1562.0,4.8,47117.0,11.54975192434247
08136,Ostalbkreis,317263.0,45975.0,202185.0,69103.0,45.2,3586.0,3.6,49367.0,11.302925333240877
08211,Baden-Baden,56526.0,7015.0,34234.0,15277.0,49.9,746.0,7.0,46017.0,13.197466652513889
08212,Karlsruhe,308197.0,37345.0,211004.0,59848.0,41.2,2990.0,4.9,53498.0,9.701586971969228
08215,Karlsruhe,455350.0,64650.0,289184.0,101516.0,46.3,4975.0,3.8,45506.0,10.925661579005162
08216,Rastatt,231356.0,32426.0,145630.0,53300.0,47.0,2627.0,4.0,48990.0,11.35479520738602
08221,Heidelberg,155175.0,19219.0,110307.0,25649.0,35.8,1294.0,4.8,50588.0,8.338972128242307
08222,Mannheim,316256.0,41346.0,215924.0,58986.0,41.0,3135.0,7.6,52890.0,9.912855408276839
08225,Neckar-Odenwald-Kreis,145681.0,20443.0,91439.0,33799.0,47.2,1779.0,3.9,39869.0,12.211613044940659
08226,Rhein-Neckar-Kreis,557819.0,79985.0,351954.0,125880.0,46.4,6116.0,4.2,50217.0,10.964129941791155
08231,Pforzheim,135087.0,20822.0,87381.0,26884.0,41.7,1460.0,6.9,44006.0,10.807849756083117
08235,Calw,161181.0,23904.0,101892.0,35385.0,45.7,1772.0,3.9,42398.0,10.993851632636602
08236,Enzkreis,199878.0,29922.0,125439.0,44517.0,46.2,2313.0,3.3,44441.0,11.572058955963138
08237,Freudenstadt,121901.0,17517.0,77957.0,26427.0,45.7,1348.0,3.9,44661.0,11.058153747713309
08311,Freiburg im Breisgau,236236.0,31826.0,163023.0,41387.0,37.8,1984.0,5.4,44936.0,8.398381279737212
08315,Breisgau-Hochschwarzwald,271977.0,40243.0,168981.0,62753.0,46.2,2941.0,3.4,41370.0,10.81341436959743
08316,Emmendingen,169470.0,25060.0,106716.0,37694.0,45.8,1834.0,3.0,42689.0,10.821974390747625
08317,Ortenaukreis,443482.0,65015.0,280549.0,97918.0,45.5,4964.0,3.9,43043.0,11.19323895896564
08325,Rottweil,140344.0,21414.0,88127.0,30803.0,45.6,1592.0,3.4,45121.0,11.343555834235879
08326,Schwarzwald-Baar-Kreis,213922.0,31550.0,133285.0,49087.0,45.3,2583.0,4.5,44288.0,12.074494441899382
08327,Tuttlingen,144955.0,23023.0,92421.0,29511.0,43.3,1562.0,4.4,48181.0,10.775757993860163
08335,Konstanz,291397.0,40660.0,187021.0,63716.0,44.3,3241.0,4.1,42732.0,11.122283345401634
08336,LÃ¶rrach,237212.0,35791.0,150666.0,50755.0,45.2,2500.0,4.9,43104.0,10.539095829890563
08337,Waldshut,171777.0,26187.0,106981.0,38609.0,45.5,1873.0,4.2,40347.0,10.903671620764129
08415,Reutlingen,293385.0,43249.0,186944.0,63192.0,44.9,3124.0,4.3,46217.0,10.648124478074886
08416,TÃ¼bingen,232897.0,33356.0,155173.0,44368.0,40.5,1927.0,3.3,44541.0,8.274043890646938
08417,Zollernalbkreis,193339.0,27627.0,121476.0,44236.0,46.6,2392.0,4.3,43487.0,12.372051164017607
08421,Ulm,128998.0,17700.0,86437.0,24861.0,40.4,1241.0,4.1,51361.0,9.620304190762647
08425,Alb-Donau-Kreis,201769.0,31434.0,129266.0,41069.0,44.0,2066.0,2.8,42839.0,10.239432221996442
08426,Biberach,206783.0,32751.0,132750.0,41282.0,43.6,1982.0,2.6,49993.0,9.584927194208422
08435,Bodenseekreis,221208.0,31054.0,137243.0,52911.0,46.9,2357.0,3.5,50981.0,10.65513001338107
08436,Ravensburg,289725.0,43250.0,185332.0,61143.0,44.3,2944.0,3.0,42829.0,10.161359910259728
08437,Sigmaringen,132758.0,19403.0,84474.0,28881.0,45.5,1475.0,3.6,42064.0,11.110441555311168
09161,Ingolstadt,139536.0,20817.0,92909.0,25810.0,41.1,1408.0,3.8,65816.0,10.09058594197913
09162,MÃ¼nchen,1488719.0,201130.0,1033053.0,254536.0,39.8,12509.0,4.8,62653.0,8.402525930010968
09163,Rosenheim,64453.0,8985.0,42543.0,12925.0,42.5,618.0,4.9,44722.0,9.588382232014025
09171,AltÃ¶tting,113018.0,16546.0,70913.0,25559.0,45.9,1377.0,3.3,49988.0,12.183899909748888
09172,Berchtesgadener Land,105108.0,14518.0,65354.0,25236.0,46.5,1214.0,3.8,41773.0,11.550024736461543
