station_code,split,country,land,lat,lon,fold,saved_pm25_target,valid_pm25_days,valid_pm10_days,annual_pm25,annual_pm10,pm25_day_deficit_vs_threshold,passes_pm25_90pct,pm10_or_only_case,annual_pm25_abs_diff,audit_status
ES1905A,development_cv,ES,,42.99806,-7.55,fold1_iberia,7.572048666763301,366,366,7.572048682591788,14.362483470550018,-37,True,False,1.5828486965574484e-08,computed
ES1907A,development_cv,ES,,43.30222,-8.50556,fold1_iberia,6.530567213737168,366,0,6.5305670939418645,,-37,True,False,1.1979530345485045e-07,computed
ES1911A,development_cv,ES,,39.70528,-0.33667,fold1_iberia,3.416148805367857,358,358,3.4161487592183843,7.03901245962686,-29,True,False,4.614947268777314e-08,computed
ES1912A,development_cv,ES,,39.4575,-0.34278,fold1_iberia,10.48757842895225,345,352,10.487578430810945,17.45552226733853,-16,True,False,1.8586945316201309e-09,computed
ES1916A,development_cv,ES,,39.99583,-0.065,fold1_iberia,14.69164253112966,347,0,14.69164265129683,,-18,True,False,1.201671704365026e-07,computed
ES1922A,development_cv,ES,,42.0194,-4.5383,fold1_iberia,7.014921726842139,366,362,7.014921741843845,15.165656765632745,-37,True,False,1.500170654367139e-08,computed
ES1926A,development_cv,ES,,39.48111,-0.40833,fold1_iberia,9.670808212870888,359,359,9.670808207868868,12.582030799701373,-30,True,False,5.002020131428253e-09,computed
ES1937A,development_cv,ES,,40.39806,-3.68667,fold1_iberia,8.165796349690789,366,366,8.165796301277519,16.67324555032976,-37,True,False,4.84132698375106e-08,computed
ES1938A,development_cv,ES,,40.43972,-3.69028,fold1_iberia,9.617839994191604,366,366,9.617840011072794,20.07860825727866,-37,True,False,1.688118977938302e-08,computed
ES1940A,development_cv,ES,,40.46583,-3.68833,fold1_iberia,8.727459463532684,365,365,8.727459486742738,19.223356663990185,-36,True,False,2.3210054322930773e-08,computed
ES1943A,development_cv,ES,,40.3847,-3.7186,fold1_iberia,9.778761834268296,366,366,9.7787618106088,17.53897314272344,-37,True,False,2.365949569593795e-08,computed
ES1944A,development_cv,ES,,40.49417,-3.66028,fold1_iberia,7.740149527358237,366,366,7.740149481863666,14.949333340361493,-37,True,False,4.5494570777293575e-08,computed
ES1957A,development_cv,ES,,43.3825,-8.40889,fold1_iberia,11.850600847717146,366,364,11.850600892465021,27.19269276530922,-37,True,False,4.474787473895958e-08,computed
ES1974A,development_cv,ES,,43.51667,-5.67056,fold1_iberia,6.917122449638442,358,364,6.917122521430764,16.198748248419243,-29,True,False,7.179232230924981e-08,computed
ES2005A,development_cv,ES,,42.953605,-9.186105,fold1_iberia,9.912051809942009,366,366,9.912051817272772,13.716270040131853,-37,True,False,7.330763551749442e-09,computed
ES2010A,development_cv,ES,,41.63,-4.74056,fold1_iberia,8.91564082546572,363,363,8.91564083548902,19.4381848488478,-34,True,False,1.0023299523709284e-08,computed
ES2014A,development_cv,ES,,42.061635,-7.408720000000001,fold1_iberia,4.252388511721705,364,366,4.252388495649287,11.695885933683138,-35,True,False,1.6072418063117766e-08,computed
ES2018A,development_cv,ES,,39.78222,-0.35917,fold1_iberia,5.993628045583251,345,345,5.99362813601767,10.969886624511288,-16,True,False,9.04344190644224e-08,computed
ES2028A,development_cv,ES,,40.31455,-3.716865,fold1_iberia,8.339673584245451,366,366,8.339673527351717,23.249976535731214,-37,True,False,5.689373416828403e-08,computed
ES2039A,development_cv,ES,,43.5197,-8.1502,fold1_iberia,5.992546751009247,360,360,5.9925467930969045,10.918753849580016,-31,True,False,4.208765780333579e-08,computed
ES2041A,development_cv,ES,,41.91614,0.1911,fold1_iberia,10.010989002757078,364,365,10.010989010989011,17.279452054794522,-35,True,False,8.231932469016101e-09,computed
ES2051A,development_cv,ES,,43.4015,-5.8028,fold1_iberia,9.07336490510514,366,366,9.073364943165338,19.305645109460944,-37,True,False,3.8060196771994015e-08,computed
ES2054A,development_cv,ES,,43.5705,-5.9583,fold1_iberia,6.015344554886891,365,365,6.015344674969138,18.752798212158364,-36,True,False,1.2008224725690297e-07,computed
ES2061A,development_cv,ES,,42.425915,-8.644,fold1_iberia,5.045021025021774,363,365,5.045021100640795,17.87480237197721,-34,True,False,7.561902037878099e-08,computed
ES2069A,development_cv,ES,,43.5229,-5.6895,fold1_iberia,6.949857878732222,365,366,6.9498578029645275,21.234193858504106,-36,True,False,7.576769434081143e-08,computed
ES2070A,development_cv,ES,,40.94667,-0.29083,fold1_iberia,7.176829346918053,328,330,7.176829268292683,10.742424242424242,1,False,True,7.862537021452454e-08,computed
ES2084A,development_cv,ES,,42.6563,-8.1071,fold1_iberia,4.686879745097407,350,363,4.686879743203656,7.473525291363151,-21,True,False,1.893750933845695e-09,computed
ES2085A,development_cv,ES,,42.0607,-7.7299,fold1_iberia,4.935266281450181,360,360,4.935266242114879,12.745342534693602,-31,True,False,3.933530212663072e-08,computed
